DAYS,DATE,TOTAL A,TOTAL B,TOTAL C
Thursday,2023-10-12,9.26,11.12,4.38
Friday,2023-10-13,8.27,11,3.94
Thursday,2023-10-19,8.29,8.11,4.68
Friday,2023-10-20,8.43,11.37,3.21
Sunday,2023-10-22,5.05,2.92,2.8
Monday,2023-10-23,6.41,7.12,3.55
Tuesday,2023-10-24,8.38,7.28,3.62
Friday,2023-10-27,9.46,10.38,2.94
Saturday,2023-10-28,9.44,9.58,5.81
Tuesday,2023-10-31,8.62,7.65,4.25
Saturday,2023-11-04,9.57,7.83,3.98
Wednesday,2023-11-08,10.01,8.49,4.28
Thursday,2023-11-16,8.5,8.29,2.53
Saturday,2023-11-18,8.23,8.22,3.95
Tuesday,2023-11-21,7.07,8.62,3.86
Wednesday,2023-11-22,7.73,7.13,4.45
Friday,2023-11-24,9.34,8.92,3.41
Tuesday,2023-11-28,9.32,6.41,3.54
Wednesday,2023-11-29,7.74,7.53,2.08
Friday,2023-12-01,6.89,8.42,3.12
Saturday,2023-12-02,8.04,3.7,4.27
Saturday,2023-12-09,8.68,7.33,4.36
Tuesday,2023-12-12,6.85,7.54,3.55
Friday,2023-12-15,7.04,7.21,4.4
Tuesday,2023-12-19,7.27,7.65,4.02
Wednesday,2023-12-20,6.5,4.69,3.87
Friday,2023-12-22,6.29,7.76,2.48
Saturday,2023-12-23,4.98,7.15,4.91
Wednesday,2023-12-27,7.1,8,4.01
Thursday,2023-12-28,7.14,7.85,3.43
Friday,2023-12-29,7.95,9,3.48
Thursday,2024-01-04,7.71,8.08,3.55
Tuesday,2024-01-09,7.32,7.37,3.56
Wednesday,2024-01-10,8.87,7.39,3.84
Thursday,2024-01-11,5.54,8.04,0
Friday,2024-01-12,7.01,8.32,3.02
Saturday,2024-01-13,7.06,8.79,3.19
Wednesday,2024-01-17,0,5.74,3
Thursday,2024-01-18,6.79,0,3.45
Friday,2024-01-19,7.21,6.66,4.06
Thursday,2024-01-25,6.69,7.33,2.82
Tuesday,2024-01-30,3.83,5.33,1.98
Monday,2024-02-05,3.42,2.42,1.94
Tuesday,2024-02-06,5.91,6.98,1.14
Thursday,2024-02-08,5.37,4.56,2.97
Friday,2024-02-09,6.86,7.89,2.67
