Date,Pump panel Consumption
2024-01-01,6.13
2024-01-02,8.22
2024-01-03,11.17
2024-01-04,12.4
2024-01-05,12.31
2024-01-06,12.7
2024-01-07,7.18
2024-01-08,9.89
2024-01-09,12.15
2024-01-10,12.67
2024-01-11,10.74
2024-01-12,11.66
2024-01-13,12.23
2024-01-14,6.68
2024-01-15,6.28
2024-01-16,6.01
2024-01-17,9
2024-01-18,11.09
2024-01-19,11.77
2024-01-20,11.19
2024-01-21,5.98
2024-01-22,9.37
2024-01-23,9.85
2024-01-24,11.09
2024-01-25,11.36
2024-01-26,6.95
2024-01-27,4.7
2024-01-28,5.31
2024-01-29,8.54
2024-01-30,9.54
2024-01-31,10.45
2024-02-01,7.77
2024-02-02,10.46
2024-02-03,9.74
2024-02-04,5.1
2024-02-05,9.07
2024-02-06,10.51
2024-02-07,7.91
2024-02-08,9.82
2024-02-09,10.38
2024-02-10,10.6
2024-02-11,4
2024-02-12,7.38
